slot_0_chan_00 1 1 01 00 02 00 -1000 15 5 100 200 -30 2500
slot_0_chan_01 1 1 01 00 02 01 -1001 15 5 100 200 -30 2500
slot_0_chan_02 1 1 01 00 02 02 -1002 15 5 100 200 -30 2500
slot_0_chan_03 1 1 01 00 02 03 -1003 15 5 100 200 -30 2500
slot_0_chan_04 1 1 01 00 02 04 -1004 15 5 100 200 -30 2500
slot_0_chan_05 1 1 01 00 02 05 -1005 15 5 100 200 -30 2500
slot_0_chan_06 1 1 01 00 02 06 -1006 15 5 100 200 -30 2500
slot_0_chan_07 1 1 01 00 02 07 -1007 15 5 100 200 -30 2500
slot_0_chan_08 1 1 01 00 02 08 -1008 15 5 100 200 -30 2500
slot_0_chan_09 1 1 01 00 02 09 -1009 15 5 100 200 -30 2500
slot_0_chan_10 1 1 01 00 02 10 -1010 15 5 100 200 -30 2500
slot_0_chan_11 1 1 01 00 02 11 -1011 15 5 100 200 -30 2500
